T Value	Count(W1)	Count(W2)	Count(W1-W2)	(W1-W2)
(142.71339323817438, 105792, 54512, 22558, ('sayılı', 'maddesi'))
(137.41819413785026, 20538, 19315, 19038, ('bölge', 'adliye'))
(129.04768187461286, 54512, 26571, 17213, ('maddesi', 'uyarınca'))
(112.92515684197654, 19315, 20380, 12905, ('adliye', 'mahkemesi'))
(106.41994184266446, 54512, 17456, 11693, ('maddesi', 'gereğince'))
(104.57299977205838, 14370, 10998, 10997, ('oy', 'birliğiyle'))
(103.11996745175149, 10998, 84780, 10994, ('birliğiyle', 'karar'))
(100.2762953394454, 29711, 14370, 10221, ('tarihinde', 'oy'))
(98.18909432752604, 33906, 21417, 9922, ('sanık', 'hakkında'))
(98.1091773353661, 94342, 10233, 9998, ('temyiz', 'itirazlarının'))
(95.82825754082756, 84780, 32169, 10218, ('karar', 'hüküm'))
(91.01373945564148, 105792, 12346, 8785, ('sayılı', 'kanunun'))
(90.03332556676996, 8395, 84780, 8381, ('oybirliğiyle', 'karar'))
(89.6273329019546, 94342, 8429, 8340, ('temyiz', 'itirazları'))
(89.26239775734368, 12671, 28937, 8110, ('vekili', 'tarafından'))
(88.16947646048845, 23956, 9255, 7860, ('gereği', 'görüşülüp'))
(87.3657113265866, 16502, 8138, 7685, ('yer', 'alan'))
(86.1435552589616, 10338, 22734, 7512, ('kanuna', 'uygun'))
(85.79098111133206, 16534, 31241, 7560, ('mahkemece', 'verilen'))
(84.16099377127642, 7824, 7856, 7107, ('yürürlüğe', 'giren'))
(83.68153970962905, 28937, 94342, 8031, ('tarafından', 'temyiz'))
(81.8063337123476, 105792, 9290, 7070, ('sayılı', 'yasanın'))
(79.87986713244075, 7359, 20698, 6440, ('basit', 'yargılama'))
(79.00084961831246, 30025, 6333, 6315, ('yerinde', 'görülmeyen'))
(77.91267847071381, 31241, 32169, 6456, ('verilen', 'hüküm'))
(77.51462069054135, 32258, 23956, 6306, ('dosya', 'gereği'))
(77.25370174584474, 22734, 32421, 6252, ('uygun', 'olarak'))
(77.19816449840494, 12346, 54512, 6219, ('kanunun', 'maddesi'))
(75.10313709863162, 5742, 10076, 5663, ('i̇lk', 'derece'))
(74.4262349561002, 5980, 30025, 5609, ('itibarla', 'yerinde'))
(74.35156772119768, 10272, 105792, 5944, ('tarih', 'sayılı'))
(74.07690839552667, 7638, 5923, 5505, ('suça', 'sürüklenen'))
(73.74497644023882, 9620, 10338, 5477, ('usul', 'kanuna'))
(73.5965772869535, 10093, 84780, 5745, ('reddine', 'karar'))
(73.50121462045635, 8727, 10184, 5437, ('taraflar', 'arasında'))
(72.75619571977052, 84780, 8727, 5578, ('karar', 'taraflar'))
(72.51478613908765, 7095, 16534, 5304, ('yerel', 'mahkemece'))
(72.36373409640119, 32169, 94342, 6364, ('hüküm', 'temyiz'))
(72.30035172410633, 38253, 5568, 5310, ('bir', 'isabetsizlik'))
(72.19892951232647, 84780, 7079, 5444, ('karar', 'verilmesi'))
(71.44318638175832, 30025, 5219, 5165, ('yerinde', 'görülmüş'))
(71.25926109333159, 84780, 105792, 8200, ('karar', 'sayılı'))
(70.72107713545375, 5206, 84780, 5172, ('oybirliği', 'karar'))
(70.63457809634967, 20698, 7557, 5050, ('yargılama', 'usulü'))
(69.58071813964746, 8714, 6642, 4864, ('uygulanması', 'gereken'))
(69.50059127531132, 84780, 5890, 5023, ('karar', 'düzeltme'))
(69.45959615328174, 9290, 54512, 5020, ('yasanın', 'maddesi'))
(68.8211181860108, 10754, 94342, 5124, ('vekilinin', 'temyiz'))
(68.54239114502788, 6906, 7419, 4718, ('adli', 'para'))
(68.34179257786283, 28937, 9132, 4773, ('tarafından', 'düzenlenen'))
(68.26633983221615, 16228, 6929, 4704, ('suç', 'tarihine'))
(67.70049477494295, 8507, 5026, 4600, ('resmi', 'yayımlanarak'))
(67.45729387002451, 32169, 12918, 4711, ('hüküm', 'mahkumiyet'))
(66.76517556740394, 94342, 5874, 4671, ('temyiz', 'isteğinin'))
(66.69108826331077, 94342, 4649, 4617, ('temyiz', 'edilmekle'))
(66.14238778617114, 10184, 5093, 4395, ('arasında', 'görülen'))
(65.96396656478639, 22734, 19579, 4523, ('uygun', 'olan'))
